index,Body Type,Color,Condition,Engine Capacity (CC),Kilometers,Model,Transmission Type,Year,brand,price
361,Sedan,Purple,Used ,1500 cc," 14,000 KM",5,Manual,2020,Cherry,"162,000 EGP"
2363,Sedan,Factory Paint,Used ,1600 cc," 144,000 KM",Vectra,Automatic,2009,Opel,"162,000 EGP"
1053,Sedan,Silver,Used ,1600 cc," 140,000 KM",Elantra,Automatic,2008,Hyundai,"163,000 EGP"
76,Hatchback,Silver,Used ,1600 cc," 115,000 KM",116i,Manual,2006,BMW,"165,000 EGP"
328,SUV,Black,Used ,1600 cc," 140,000 KM",V5,Automatic,2015,Brilliance,"165,000 EGP"
408,Sedan,Red,Used ,1500 cc," 65,000 KM",Aveo,Automatic,2019,Chevrolet,"165,000 EGP"
505,Sedan,Champagne,Used ,1600 cc," 91,000 KM",C-Elysee,Automatic,2015,Citroen,"165,000 EGP"
521,SUV,Silver,Used ,1600 cc," 88,000 KM",Picasso,Dual Clutch,2014,Citroen,"165,000 EGP"
719,Hatchback,Navy Blue,Used ,1400 cc," 105,000 KM",Punto,Automatic,2017,Fiat,"165,000 EGP"
720,Hatchback,Navy Blue,Used ,1400 cc," 105,000 KM",Punto,Automatic,2017,Fiat,"165,000 EGP"
721,Hatchback,Navy Blue,Used ,1400 cc," 105,000 KM",Punto,Automatic,2017,Fiat,"165,000 EGP"
991,Sedan,Bronze,Used ,1300 cc," 130,000 KM",Accent,Automatic,2012,Hyundai,"165,000 EGP"
1048,Sedan,Silver,Used ,1600 cc," 15,515,177 KM",Elantra,Automatic,2010,Hyundai,"165,000 EGP"
1054,Sedan,Black,Used ,1600 cc," 144,000 KM",Elantra,Automatic,2007,Hyundai,"165,000 EGP"
1148,Hatchback,Gray,Used ,1100 cc," 80,000 KM",I10,Automatic,2017,Hyundai,"165,000 EGP"
1258,Sedan,Silver,Used ,1600 cc," 96,000 KM",1.6,Automatic,2018,Hyundai,"165,000 EGP"
1260,Sedan,Silver,Used ,1600 cc," 96,000 KM",1.6,Automatic,2018,Hyundai,"165,000 EGP"
1340,SUV,Silver,Used ,3700 cc," 280,000 KM",Liberty,Manual,2006,Jeep,"165,000 EGP"
1425,Hatchback,Bronze,Used ,1300 cc," 65,000 KM",Picanto,Automatic,2016,Kia,"165,000 EGP"
1456,Hatchback,Red,Used ,1400 cc," 200,000 KM",II,Automatic,2013,Kia,"165,000 EGP"
1747,SUV,Black,Used ,1500 cc," 140,000 KM",B150,CVT,2008,Mercedes,"165,000 EGP"
2433,Sedan,Bronze,Used ,1600 cc, 114 KM,301,Automatic,2016,Peugeot,"165,000 EGP"
2434,Sedan,Bronze,Used ,1600 cc, 114 KM,301,Automatic,2016,Peugeot,"165,000 EGP"
2568,Sedan,Black,Used ,1600 cc," 95,000 KM",Persona,Automatic,2016,Proton,"165,000 EGP"
2775,SUV,Red,Used ,1600 cc," 29,700 KM",Stepway,Automatic,2017,Renault,"165,000 EGP"
2818,Hatchback,Maroon,Used ,1600 cc," 186,000 KM",Ibiza,Automatic,2012,Seat,"165,000 EGP"
3056,Sedan,Gray,Used ,1400 cc," 150,000 KM",Ciaz,Automatic,2015,Suzuki,"165,000 EGP"
2584,Sedan,NA, New ,1300 cc,0 KM,Saga,Manual,2021,Proton,"166,900 EGP"
329,SUV,Black,Used ,1600 cc," 140,000 KM",V5,Automatic,2015,Brilliance,"167,000 EGP"
722,Hatchback,Red,Used ,1400 cc," 57,000 KM",Punto,Automatic,2016,Fiat,"167,000 EGP"
1142,Sedan,Red,Used ,1200 cc," 45,000 KM",I10,Automatic,2015,Hyundai,"167,000 EGP"
1194,Hatchback,Black,Used ,1600 cc," 93,000 KM",Matrix,Automatic,2008,Hyundai,"167,000 EGP"
1432,Van,Silver,Used ,1300 cc," 100,000 KM",Picanto,Automatic,2014,Kia,"167,000 EGP"
366,Sedan,Gold,Used ,1600 cc," 90,000 KM",5,Automatic,2019,Cherry,"168,000 EGP"
1146,Hatchback,Gray,Used ,1100 cc," 46,000 KM",I10,Automatic,2017,Hyundai,"168,000 EGP"
1195,Hatchback,Green,Used ,1600 cc," 72,000 KM",Matrix,Automatic,2008,Hyundai,"168,000 EGP"
1429,Hatchback,Silver,Used ,1200 cc," 68,500 KM",Picanto,Manual,2015,Kia,"168,000 EGP"
359,Sedan,White,Used ,1500 cc," 5,500 KM",5,Manual,2021,Cherry,"168,500 EGP"
2792,SUV,Black,Used ,1600 cc," 136,000 KM",Altea,CVT,2010,Seat,"169,000 EGP"
755,Hatchback,White,Used ,1300 cc," 10,000 KM",Ritmo,Manual,1983,Fiat,"17,000 EGP"
2192,Sedan,White,Used ,1600 cc, 10 KM,Polonez,Manual,1988,Nasr,"17,000 EGP"
684,Sedan,Beige,Used ,1100 cc," 1,975 KM",nova,Manual,1985,Fiat,"17,500 EGP"
72,Hatchback,White,Used ,1600 cc," 248,000 KM",116i,Manual,2007,BMW,"170,000 EGP"
73,Hatchback,White,Used ,1600 cc," 248,000 KM",116i,Manual,2007,BMW,"170,000 EGP"
74,Hatchback,White,Used ,1600 cc," 248,000 KM",116i,Manual,2007,BMW,"170,000 EGP"
351,Sedan,Champagne,Used ,1600 cc," 43,000 KM",V7,Automatic,2017,Changan,"170,000 EGP"
382,SUV,Maroon,Used ,1600 cc," 123,000 KM",Tiggo,CVT,2017,Cherry,"170,000 EGP"
383,SUV,Black,Used ,1600 cc," 70,000 KM",Tiggo,Automatic,2017,Cherry,"170,000 EGP"
384,SUV,Black,Used ,1600 cc," 70,000 KM",Tiggo,Automatic,2017,Cherry,"170,000 EGP"
438,Sedan,Gray,Used ,1600 cc," 100,000 KM",Cruze,Automatic,2016,Chevrolet,"170,000 EGP"
527,Hatchback,Black,Used ,1600 cc," 250,000 KM",C4,Automatic,2013,Citroen,"170,000 EGP"
551,SUV,Silver,Used ,1600 cc," 164,000 KM",Picasso,Automatic,2012,Citroen,"170,000 EGP"
639,SUV,Black,Used ,1400 cc," 165,000 KM",Terios,Automatic,2009,Daihatsu,"170,000 EGP"
986,Sedan,Maroon,Used ,1600 cc," 78,000 KM",Accent,Automatic,2015,Hyundai,"170,000 EGP"
987,Sedan,Maroon,Used ,1600 cc," 78,000 KM",Accent,Automatic,2015,Hyundai,"170,000 EGP"
1139,Sedan,Gray,Used ,1200 cc," 104,000 KM",I10,Automatic,2016,Hyundai,"170,000 EGP"
1143,Hatchback,Navy Blue,Used ,1200 cc," 100,000 KM",I10,Dual Clutch,2015,Hyundai,"170,000 EGP"
1147,Hatchback,Gray,Used ,1100 cc," 40,000 KM",I10,Automatic,2017,Hyundai,"170,000 EGP"
1190,Hatchback,Navy Blue,Used ,1600 cc," 105,000 KM",Matrix,Automatic,2010,Hyundai,"170,000 EGP"
1210,Sedan,Champagne,Used ,2000 cc," 280,000 KM",Sonata,Automatic,2010,Hyundai,"170,000 EGP"
1347,SUV,Bronze,Used ,3700 cc," 220,000 KM",Liberty,Automatic,2003,Jeep,"170,000 EGP"
1748,Hatchback,Black,Used ,1500 cc," 184,000 KM",B150,Automatic,2008,Mercedes,"170,000 EGP"
1752,Hatchback,Gray,Used ,1500 cc," 163,000 KM",B150,Automatic,2007,Mercedes,"170,000 EGP"
2268,Sedan,Dark Grey,Used ,1500 cc," 45,000 KM",Sunny,Automatic,2020,Nissan,"170,000 EGP"
2399,Hatchback,Gray,Used ,1400 cc," 55,000 KM",208,Automatic,2015,Peugeot,"170,000 EGP"
2753,Hatchback,Red,Used ,1600 cc," 50,000 KM",Sandero,Automatic,2017,Renault,"170,000 EGP"
2754,Hatchback,Blue,Used ,1600 cc," 97,000 KM",Sandero,Automatic,2017,Renault,"170,000 EGP"
2814,Station,Baby Blue,Used ,1600 cc," 98,000 KM",Ibiza,Automatic,2014,Seat,"170,000 EGP"
2431,Sedan,White,Used ,1600 cc," 60,000 KM",301,Automatic,2017,Peugeot,"172,000 EGP"
296,Sedan,NA, New ,1500 cc,0 KM,F3,Manual,2021,BYD,"174,000 EGP"
71,Coupe,Black,Used ,1600 cc," 190,000 KM",116i,Automatic,2008,BMW,"175,000 EGP"
379,SUV,Black,Used ,1600 cc," 225,000 KM",Tiggo,Automatic,2018,Cherry,"175,000 EGP"
380,SUV,Black,Used ,1600 cc," 225,000 KM",Tiggo,Automatic,2018,Cherry,"175,000 EGP"
381,SUV,Black,Used ,1600 cc," 225,000 KM",Tiggo,Automatic,2018,Cherry,"175,000 EGP"
390,SUV,Silver,Used ,1600 cc," 84,000 KM",3,Automatic,2017,Cherry,"175,000 EGP"
434,Sedan,Gray,Used ,1600 cc," 114,000 KM",Cruze,Automatic,2016,Chevrolet,"175,000 EGP"
651,Automatic,NA,Used ,NA," 150,000 KM",Terios,1500 cc,2009,Daihatsu,"175,000 EGP"
658,SUV,Black,Used ,5700 cc," 180,000 KM",Durango,Automatic,2001,Dodge,"175,000 EGP"
725,Hatchback,Red,Used ,1400 cc," 84,000 KM",Punto,Dual Clutch,2016,Fiat,"175,000 EGP"
735,Hatchback,Red,Used ,1400 cc," 73,000 KM",Punto,Automatic,2017,Fiat,"175,000 EGP"
984,Sedan,NA,Used ,1600 cc," 89,000 KM",Accent,Automatic,2016,Hyundai,"175,000 EGP"
988,Sedan,Gray,Used ,1600 cc," 118,000 KM",Accent,Automatic,2015,Hyundai,"175,000 EGP"
990,Sedan,NA,Used ,1600 cc," 89,000 KM",Accent,Automatic,2014,Hyundai,"175,000 EGP"
1149,Hatchback,Dark Grey,Used ,1100 cc, 50 KM,I10,Automatic,2017,Hyundai,"175,000 EGP"
1168,Hatchback,Baby Blue,Used ,1600 cc," 124,000 KM",I30,Automatic,2010,Hyundai,"175,000 EGP"
1187,Hatchback,Blue,Used ,1600 cc," 11,111 KM",Matrix,Automatic,2010,Hyundai,"175,000 EGP"
1201,Hatchback,Blue,Used ,1400 cc," 150,000 KM",Solaris,Automatic,2017,Hyundai,"175,000 EGP"
1202,Hatchback,Blue,Used ,1400 cc," 150,000 KM",Solaris,Automatic,2017,Hyundai,"175,000 EGP"
1284,SUV,Brown,Used ,1500 cc," 85,000 KM",S3,Automatic,2016,JAC,"175,000 EGP"
1341,SUV,Silver,Used ,3700 cc," 270,000 KM",Liberty,Automatic,2006,Jeep,"175,000 EGP"
1342,Hatchback,Black,Used ,3700 cc, 200 KM,Liberty,Automatic,2006,Jeep,"175,000 EGP"
1348,Hatchback,Blue,Used ,2400 cc," 120,000 KM",Liberty,Manual,2002,Jeep,"175,000 EGP"
1478,SUV,White,Used ,3800 cc," 150,000 KM",Sorento,Automatic,2008,Kia,"175,000 EGP"
2282,Hatchback,Dark Grey,Used ,1600 cc," 120,000 KM",Tiida,Automatic,2014,Nissan,"175,000 EGP"
2284,Hatchback,Champagne,Used ,1600 cc," 126,000 KM",Tiida,Automatic,2013,Nissan,"175,000 EGP"
2398,Cabriolet,Black,Used ,1600 cc," 200,000 KM",207,Automatic,2008,Peugeot,"175,000 EGP"
2474,Sedan,Red,Used ,1600 cc," 125,000 KM",408,Automatic,2012,Peugeot,"175,000 EGP"
2774,SUV,NA,Used ,1600 cc," 140,000 KM",Stepway,Automatic,2017,Renault,"175,000 EGP"
3012,Sedan,Dark Grey,Used ,1600 cc," 185,000 KM",Impreza,Automatic,2013,Subaru,"175,000 EGP"
3176,Coupe,Silver,Used ,1600 cc," 200,000 KM",Beetles,Automatic,2002,Volkswagen,"175,000 EGP"
354,Sedan,NA, New ,1500 cc,0 KM,5,Manual,2021,Cherry,"175,900 EGP"
1553,Sedan,NA, New ,1600 cc,0 KM,Granta,Automatic,2021,Lada,"176,000 EGP"
458,Van,NA, New ,1200 cc,0 KM,300,Manual,2021,Chevrolet,"176,150 EGP"
734,Hatchback,Silver,Used ,1400 cc," 59,000 KM",Punto,Automatic,2019,Fiat,"177,000 EGP"
1189,Hatchback,Maroon,Used ,1600 cc," 120,000 KM",Matrix,Automatic,2010,Hyundai,"177,000 EGP"
406,Sedan,Gray,Used ,1500 cc," 30,000 KM",Aveo,Automatic,2019,Chevrolet,"178,000 EGP"
1011,Sedan,Gray,Used ,1600 cc," 73,000 KM",RB,Automatic,2015,Hyundai,"178,000 EGP"
2777,Hatchback,Silver,Used ,1600 cc," 28,500 KM",Stepway,Automatic,2016,Renault,"178,000 EGP"
1500,SUV,Dark Grey,Used ,1600 cc," 147,500 KM",Soul,Automatic,2010,Kia,"178,500 EGP"
2700,Sedan,NA, New ,1600 cc,0 KM,Logan,Manual,2021,Renault,"179,000 EGP"
681,Sedan,White,Used ,1100 cc," 100,000 KM",nova,Manual,1987,Fiat,"18,000 EGP"
685,Sedan,Blue,Used ,1100 cc," 9,999 KM",nova,Manual,1985,Fiat,"18,000 EGP"
672,Sedan,Beige,Used ,1000 cc," 100,000 KM",127,Manual,1984,Fiat,"18,500 EGP"
330,SUV,NA,Used ,1600 cc," 105,000 KM",V5,Automatic,2015,Brilliance,"180,000 EGP"
331,SUV,Blue,Used ,1600 cc," 140,000 KM",V5,Automatic,2013,Brilliance,"180,000 EGP"
332,SUV,NA,Used ,1600 cc," 150,000 KM",V5,Automatic,2013,Brilliance,"180,000 EGP"
364,Sedan,Red,Used ,1500 cc," 40,000 KM",5,Automatic,2020,Cherry,"180,000 EGP"
522,Hatchback,Maroon,Used ,1600 cc," 115,000 KM",Picasso,Dual Clutch,2013,Citroen,"180,000 EGP"
715,SUV,Black,Used ,1400 cc," 78,000 KM",Doblo,Manual,2015,Fiat,"180,000 EGP"
905,SUV,White,Used ,5700 cc," 200,000 KM",pan,Automatic,1998,GMC,"180,000 EGP"
927,Sedan,Gray,Used ,1500 cc," 63,000 KM",City,Automatic,2013,Honda,"180,000 EGP"
930,Sedan,Gray,Used ,1500 cc," 63,000 KM",City,Automatic,2013,Honda,"180,000 EGP"
985,Sedan,Red,Used ,1600 cc," 62,000 KM",Accent,Automatic,2016,Hyundai,"180,000 EGP"
1012,Sedan,Bronze,Used ,1600 cc," 53,000 KM",RB,Automatic,2015,Hyundai,"180,000 EGP"
1013,Sedan,Red,Used ,1600 cc," 141,000 KM",RB,Automatic,2015,Hyundai,"180,000 EGP"
1014,Sedan,Red,Used ,1600 cc," 141,000 KM",RB,Automatic,2015,Hyundai,"180,000 EGP"
1203,Sedan,Maroon,Used ,1400 cc," 92,000 KM",Solaris,Automatic,2017,Hyundai,"180,000 EGP"
1428,Hatchback,Red,Used ,1300 cc," 55,000 KM",Picanto,Automatic,2015,Kia,"180,000 EGP"
1431,Hatchback,NA,Used ,1300 cc," 18,800 KM",Picanto,Automatic,2015,Kia,"180,000 EGP"
1621,Sedan,Silver,Used ,2500 cc," 80,563 KM",750,Automatic,2017,MG,"180,000 EGP"
1711,Hatchback,Black,Used ,1300 cc, 10 KM,A200,Automatic,2021,Mercedes,"180,000 EGP"
1749,Hatchback,Maroon,Used ,1600 cc," 120,000 KM",B150,Automatic,2008,Mercedes,"180,000 EGP"
2109,Hatchback,Black,Used ,1600 cc," 118,000 KM",Cooper,Automatic,2008,Mini,"180,000 EGP"
2110,Coupe,Blue,Used ,1600 cc," 180,000 KM",Cooper,Automatic,2008,Mini,"180,000 EGP"
2401,Hatchback,NA,Used ,1600 cc," 62,000 KM",208,Automatic,2013,Peugeot,"180,000 EGP"
2755,Hatchback,Silver,Used ,1600 cc," 52,840 KM",Sandero,Automatic,2017,Renault,"180,000 EGP"
2756,Hatchback,Bronze,Used ,1600 cc," 7,500 KM",Sandero,Automatic,2016,Renault,"180,000 EGP"
3154,SUV,White,Used ,2000 cc," 176,193 KM",Rav4,Automatic,2002,Toyota,"180,000 EGP"
3167,Sedan,Blue,Used ,1500 cc," 120,000 KM",Yaris,Automatic,2015,Toyota,"180,000 EGP"
407,Sedan,Dark Grey,Used ,1500 cc," 13,000 KM",Aveo,Automatic,2019,Chevrolet,"183,000 EGP"
1046,Sedan,Silver,Used ,1600 cc," 120,000 KM",Elantra,Automatic,2011,Hyundai,"183,000 EGP"
1496,Hatchback,Red,Used ,1600 cc, 158 KM,Soul,Automatic,2012,Kia,185 EGP
35,Coupe,Blue,Used ,1600 cc," 302,000 KM",A3,Automatic,2008,Audi,"185,000 EGP"
358,Sedan,Purple,Used ,1500 cc," 12,000 KM",5,CVT,2021,Cherry,"185,000 EGP"
362,Sedan,Baby Blue,Used ,1600 cc," 19,000 KM",5,Automatic,2020,Cherry,"185,000 EGP"
402,Sedan,Gray,Used ,1500 cc," 30,000 KM",Aveo,Automatic,2020,Chevrolet,"185,000 EGP"
403,Sedan,NA,Used ,1500 cc," 24,000 KM",Aveo,Automatic,2020,Chevrolet,"185,000 EGP"
405,Sedan,Red,Used ,1500 cc," 9,300 KM",Aveo,Automatic,2019,Chevrolet,"185,000 EGP"
433,Sedan,Maroon,Used ,1600 cc," 111,000 KM",Cruze,Automatic,2016,Chevrolet,"185,000 EGP"
435,Sedan,Black,Used ,1600 cc," 10,244,248 KM",Cruze,Automatic,2016,Chevrolet,"185,000 EGP"
436,Sedan,Factory Paint,Used ,1600 cc," 110,000 KM",Cruze,Automatic,2016,Chevrolet,"185,000 EGP"
652,SUV,Black,Used ,1500 cc," 146,000 KM",Terios,Automatic,2009,Daihatsu,"185,000 EGP"
705,Cabriolet,Gray,Used ,1400 cc," 106,000 KM",500C,Automatic,2011,Fiat,"185,000 EGP"
726,Hatchback,Black,Used ,1400 cc," 53,000 KM",Punto,Automatic,2016,Fiat,"185,000 EGP"
960,SUV,Blue,Used ,1500 cc," 100,000 KM",HR-V,Automatic,2005,Honda,"185,000 EGP"
983,Sedan,Red,Used ,1600 cc," 78,000 KM",Accent,Automatic,2016,Hyundai,"185,000 EGP"
1186,SUV,Beige,Used ,1600 cc," 80,000 KM",Matrix,Automatic,2011,Hyundai,"185,000 EGP"
1207,Sedan,Blue,Used ,1400 cc, 110 KM,Solaris,Automatic,2016,Hyundai,"185,000 EGP"
1243,Coupe,NA,Used ,1600 cc," 225,000 KM",Veloster,Automatic,2012,Hyundai,"185,000 EGP"
1524,Sedan,Dark Grey,Used ,1600 cc," 170,000 KM",GTC,Automatic,2014,Opel,"185,000 EGP"
1755,SUV,NA,Used ,1600 cc," 160,000 KM",B160,Automatic,2011,Mercedes,"185,000 EGP"
2260,Sedan,NA, New ,1500 cc,0 KM,Sunny,Manual,2021,Nissan,"185,000 EGP"
2274,Sedan,Bronze,Used ,1500 cc," 34,000 KM",Sunny,Automatic,2020,Nissan,"185,000 EGP"
2277,Sedan,Dark Grey,Used ,1600 cc," 170,000 KM",GTC,Automatic,2014,Opel,"185,000 EGP"
2294,Hatchback,Gray,Used ,1400 cc," 75,000 KM",Adam,Manual,2016,Opel,"185,000 EGP"
2380,SUV,Navy Blue,Used ,1600 cc," 1,680,000 KM",2008,Automatic,2016,Peugeot,"185,000 EGP"
2383,Hatchback,Black,Used ,1500 cc," 115,000 KM",2008,Automatic,2015,Peugeot,"185,000 EGP"
2684,Sedan,Red,Used ,1600 cc," 140,000 KM",Fluence,Automatic,2015,Renault,"185,000 EGP"
2776,Hatchback,Black,Used ,1600 cc," 26,000 KM",Stepway,Automatic,2017,Renault,"185,000 EGP"
2815,Coupe,Red,Used ,1600 cc, 103 KM,Ibiza,Automatic,2014,Seat,"185,000 EGP"
2986,SUV,Gray,Used ,1600 cc," 60,000 KM",Tiggo,CVT,2019,Speranza,"185,000 EGP"
2987,Hatchback,Black,Used ,1600 cc," 34,000 KM",Tiggo,Automatic,2018,Speranza,"185,000 EGP"
3166,Sedan,Gray,Used ,1500 cc," 140,000 KM",Yaris,Automatic,2015,Toyota,"185,000 EGP"
3172,Sedan,Gold,Used ,1500 cc," 207,000 KM",Yaris,Automatic,2015,Toyota,"185,000 EGP"
409,Sedan,Red,Used ,1500 cc," 19,000 KM",Aveo,Automatic,2019,Chevrolet,"186,000 EGP"
2271,Sedan,Factory Paint,Used ,1500 cc," 42,000 KM",Sunny,Automatic,2020,Nissan,"187,000 EGP"
2275,Sedan,Factory Paint,Used ,1500 cc," 42,000 KM",Sunny,Automatic,2020,Nissan,"187,000 EGP"
326,SUV,Gray,Used ,1600 cc," 89,000 KM",V5,Automatic,2015,Brilliance,"188,000 EGP"
404,Sedan,Blue,Used ,1500 cc," 40,000 KM",Aveo,Automatic,2020,Chevrolet,"188,000 EGP"
1419,Sedan,Gray,Used ,1400 cc," 45,000 KM",Pegas,Automatic,2020,Kia,"188,000 EGP"
2272,Sedan,Black,Used ,1500 cc," 25,000 KM",Sunny,Automatic,2020,Nissan,"188,000 EGP"
2772,SUV,Silver,Used ,1600 cc," 46,000 KM",Stepway,Automatic,2018,Renault,"188,000 EGP"
2585,Sedan,NA, New ,1300 cc,0 KM,Saga,Automatic,2021,Proton,"188,900 EGP"
646,Hatchback,Gray,Used ,1500 cc," 156,000 KM",Terios,Automatic,2013,Daihatsu,"189,000 EGP"
647,Hatchback,Gray,Used ,1500 cc," 156,000 KM",Terios,Automatic,2013,Daihatsu,"189,000 EGP"
944,Sedan,Champagne,Used ,1600 cc," 191,000 KM",Civic,Automatic,2010,Honda,"189,000 EGP"
2707,Sedan,Silver,Used ,1600 cc," 9,000 KM",Logan,Automatic,2021,Renault,"189,000 EGP"
348,SUV,Blue,Used ,1600 cc," 195,000 KM",CS35,Automatic,2016,Changan,"190,000 EGP"
363,Sedan,Silver,Used ,1500 cc," 43,000 KM",5,CVT,2020,Cherry,"190,000 EGP"
388,Hatchback,Silver,Used ,1600 cc, 140 KM,3,Automatic,2019,Cherry,"190,000 EGP"
391,SUV,Navy Blue,Used ,1600 cc," 52,000 KM",3,CVT,2017,Cherry,"190,000 EGP"
424,SUV,Dark Grey,Used ,3200 cc," 275,000 KM",Captiva,Automatic,2012,Chevrolet,"190,000 EGP"
437,Sedan,Black,Used ,1600 cc," 143,000 KM",Cruze,Automatic,2016,Chevrolet,"190,000 EGP"
941,Sedan,Gray,Used ,1600 cc," 155,000 KM",Civic,Automatic,2010,Honda,"190,000 EGP"
1112,Sedan,Gray,Used ,1600 cc," 122,000 KM",MD,Automatic,2015,Hyundai,"190,000 EGP"
1113,Sedan,Gray,Used ,1600 cc," 122,000 KM",MD,Automatic,2015,Hyundai,"190,000 EGP"
1164,Hatchback,Bronze,Used ,1600 cc," 130,000 KM",I30,Automatic,2015,Hyundai,"190,000 EGP"
1205,Sedan,Red,Used ,1400 cc," 75,000 KM",Solaris,Automatic,2016,Hyundai,"190,000 EGP"
1420,Sedan,Red,Used ,1400 cc," 36,800 KM",Pegas,Automatic,2020,Kia,"190,000 EGP"
1694,Sedan,Black,Used ,3000 cc," 150,000 KM",S,Automatic,1988,Mercedes,"190,000 EGP"
2266,Sedan,NA,Used ,1600 cc," 9,000 KM",Sunny,Automatic,2021,Nissan,"190,000 EGP"
2424,Sedan,NA,Used ,1600 cc," 45,000 KM",301,Automatic,2020,Peugeot,"190,000 EGP"
2432,Sedan,Brown,Used ,1600 cc," 146,000 KM",301,Automatic,2016,Peugeot,"190,000 EGP"
2447,Hatchback,Red,Used ,800 cc," 130,000 KM",308,Automatic,2012,Peugeot,"190,000 EGP"
2572,Sedan,Silver,Used ,1600 cc," 9,000 KM",Persona,Manual,2013,Proton,"190,000 EGP"
2736,Hatchback,Dark Grey,Used ,1600 cc," 123,000 KM",Megane,Dual Clutch,2011,Renault,"190,000 EGP"
2773,Hatchback,Purple,Used ,1600 cc," 34,000 KM",Stepway,Automatic,2017,Renault,"190,000 EGP"
2838,Sedan,Gray,Used ,1600 cc," 29,000 KM",Toledo,Automatic,2019,Seat,"190,000 EGP"
2839,Sedan,Gray,Used ,1600 cc," 29,000 KM",Toledo,Automatic,2019,Seat,"190,000 EGP"
2862,Sedan,Navy Blue,Used ,1600 cc," 98,000 KM",Fantasia,Automatic,2012,Skoda,"190,000 EGP"
2916,Sedan,White,Used ,1600 cc," 114,000 KM",Rapid,Automatic,2015,Skoda,"190,000 EGP"
2917,Sedan,Gray,Used ,1600 cc," 108,000 KM",Rapid,Automatic,2015,Skoda,"190,000 EGP"
3019,Sedan,Gray,Used ,2000 cc," 199,900 KM",Legacy,Automatic,2008,Subaru,"190,000 EGP"
3169,Sedan,Black,Used ,1500 cc," 100,000 KM",Yaris,Automatic,2015,Toyota,"190,000 EGP"
3223,Sedan,Dark Grey,Used ,1600 cc," 135,000 KM",Jetta,Manual,2010,Volkswagen,"190,000 EGP"
3225,Sedan,Dark Grey,Used ,1600 cc," 135,000 KM",Jetta,Manual,2010,Volkswagen,"190,000 EGP"
940,Sedan,Maroon,Used ,1600 cc, 220 KM,Civic,Automatic,2012,Honda,"192,000 EGP"
2270,Sedan,Black,Used ,1500 cc," 17,000 KM",Sunny,Automatic,2020,Nissan,"192,000 EGP"
2273,Sedan,Black,Used ,1500 cc," 17,000 KM",Sunny,Automatic,2020,Nissan,"192,000 EGP"
2770,Sedan,Silver,Used ,1600 cc," 64,000 KM",Stepway,Automatic,2018,Renault,"193,000 EGP"
3216,Sedan,Brown,Used ,1400 cc," 120,000 KM",Jetta,Dual Clutch,2012,Volkswagen,"193,000 EGP"
355,Sedan,NA, New ,1500 cc,0 KM,5,Automatic,2021,Cherry,"193,900 EGP"
2170,Sedan,Silver,Used ,1600 cc," 920,000 KM",Lancer,Automatic,2016,Mitsubishi,"194,000 EGP"
356,Sedan,NA, New ,1500 cc,0 KM,5,CVT,2021,Cherry,"194,900 EGP"
325,SUV,Gray,Used ,1600 cc," 126,000 KM",V5,CVT,2015,Brilliance,"195,000 EGP"
327,SUV,Gray,Used ,1600 cc," 126,000 KM",V5,Automatic,2015,Brilliance,"195,000 EGP"
385,SUV,Navy Blue,Used ,1600 cc," 52,000 KM",Tiggo,Automatic,2017,Cherry,"195,000 EGP"
389,SUV,Silver,Used ,1600 cc," 48,000 KM",3,Automatic,2019,Cherry,"195,000 EGP"
427,Sedan,White,Used ,1600 cc," 130,000 KM",Cruze,Automatic,2017,Chevrolet,"195,000 EGP"
428,Sedan,White,Used ,1600 cc," 130,000 KM",Cruze,Automatic,2017,Chevrolet,"195,000 EGP"
429,Sedan,White,Used ,1600 cc," 130,000 KM",Cruze,Automatic,2017,Chevrolet,"195,000 EGP"
431,Sedan,Silver,Used ,1600 cc," 127,000 KM",Cruze,Automatic,2016,Chevrolet,"195,000 EGP"
717,Hatchback,Black,Used ,1400 cc," 50,000 KM",Punto,Automatic,2019,Fiat,"195,000 EGP"
786,Sedan,Maroon,Used ,1400 cc," 15,000 KM",Tipo,Manual,2021,Fiat,"195,000 EGP"
1015,Sedan,Baby Blue,Used ,1600 cc," 49,000 KM",RB,Automatic,2015,Hyundai,"195,000 EGP"
1446,Hatchback,Gray,Used ,1400 cc," 48,000 KM",Rio,Automatic,2017,Kia,"195,000 EGP"
1499,SUV,Beige,Used ,1600 cc," 98,000 KM",Soul,Dual Clutch,2010,Kia,"195,000 EGP"
1622,Sedan,Gray,Used ,1800 cc," 200,000 KM",750,Automatic,2017,MG,"195,000 EGP"
2168,Sedan,Silver,Used ,1600 cc," 910,000 KM",Lancer,Automatic,2016,Mitsubishi,"195,000 EGP"
2310,Hatchback,Gray,Used ,1400 cc," 100,000 KM",Corsa,Automatic,2017,Opel,"195,000 EGP"
2426,Sedan,Black,Used ,1600 cc," 60,000 KM",301,Automatic,2019,Peugeot,"195,000 EGP"
2581,Sedan,White,Used ,1600 cc," 48,000 KM",Preve,Automatic,2019,Proton,"195,000 EGP"
2682,Sedan,Silver,Used ,1600 cc," 170,000 KM",Fluence,Automatic,2016,Renault,"195,000 EGP"
2706,Sedan,Gray,Used ,1600 cc, 850 KM,Logan,Automatic,2021,Renault,"195,000 EGP"
2711,Sedan,Bronze,Used ,1600 cc," 11,000 KM",Logan,Automatic,2021,Renault,"195,000 EGP"
2732,Hatchback,Black,Used ,1600 cc," 53,000 KM",Megane,Automatic,2016,Renault,"195,000 EGP"
