,Ad_ID,date,brand,Model,Year,Condition,Kilometers,Engine Capacity (CC),Transmission Type,Body Type,Fabrica?,price
5818,e9b53e3fcc094e3bbd14246cb6ec1c56,23-01-2023,Skoda,Octavia,2006,Used,"203,000",1600,Manual,Sedan,,200000
5819,e2b5c9f4cf734af6845beaf796c24fd0,23-01-2023,Citroen,C5,2017,Used,"73,000",1600,Automatic,Sedan,Yes,550000
5820,rio,23-01-2023,Kia,Rio II,2012,Used,"151,500",1500,Automatic,Sedan,Yes,275000
5821,a49c16ba388b4e0d8bf73f5eaad571fd,23-01-2023,Hyundai,Solaris,2017,Used,"40,000",1400,Automatic,Sedan,,365000
5822,sportage,23-01-2023,Kia,Sportage NQ5,2022,Used,"2,500",1600,Automatic,SUV,Yes,1300000
5823,33575bd95b5f4965a03b7506f309e28e,23-01-2023,MG,5,2022,Used,33,1500,CVT,Sedan,,570000
5824,1fbbc72ef199443f9787e34b97885d74,23-01-2023,Subaru,XV,2013,Used,"220,000",1600,Automatic,SUV,,440000
5825,ab347f188586469caacc01f3c36386d3,23-01-2023,Skoda,Rapid,2013,Used,"214,000",1500,Manual,Sedan,,300000
5826,b0571adac35e41e6882436bfe8f0fb74,23-01-2023,SsangYong,XLV,2020,Used,"10,000",1600,Automatic,SUV,Yes,625000
5827,62812af90a9842f5a3c07dd6a7e109b0,23-01-2023,Kia,Picanto,2017,Used,"60,000",1200,Automatic,Hatchback,,360000
5828,tiggo,23-01-2023,Chery,Tiggo 3,2020,Used,"35,000",1600,Automatic,SUV,Yes,350000
5829,nissan,23-01-2023,Nissan Motor Egypt,Sunny,2016,Used,"96,000",1500,Automatic,Sedan,,250000
5837,59b43a1543a94413881bbf07e7db4063,06-02-2023,Mercedes,E300,2022,Used,10,2000,Automatic,Sedan,Yes,3450000
5838,7624c723be144cf590c91f1f57c7937f,23-01-2023,Peugeot,301,2021,Used,"23,000",1600,Automatic,Sedan,Yes,440000
5839,82e83ef903e84ce5a90a99c13a8905b7,23-01-2023,Speranza,A516,2010,Used,"148,008",1600,Manual,Sedan,,150000
5840,dc8bbc8901a0444d9faebcf152bc82d0,23-01-2023,Hyundai,Tucson,2017,Used,"147,000",1600,Automatic,SUV,Yes,735000
5841,bc60d0751cad4aa4b6f7056a160986ab,23-01-2023,Skoda,Superb,2021,Used,"48,000",1400,Automatic,Sedan,,1325000
5842,verna,23-01-2023,Hyundai,Verna 1.6,2014,Used,"160,000",1300,Manual,Sedan,,180000
5843,nissan,23-01-2023,Nissan Motor Egypt,Juke,2014,Used,"100,000",1500,Automatic,SUV,,330000
5844,e26a194ca0b840718b9d9c7c12ed1c44,23-01-2023,Kia,Picanto,2011,Used,"140,000",1100,Manual,Hatchback,,186000
5845,nissan,23-01-2023,Nissan Motor Egypt,Sunny,2002,Used,"200,000",1600,Automatic,Sedan,,135000
5846,f6236bfdac134c3a8db75b95fbbbdff2,23-01-2023,Ford,Focus,2013,Used,"175,000",1600,Automatic,Hatchback,Yes,380000
5847,22f1ef93c58d4f3c8d8223fce0c52d80,23-01-2023,Mercedes,C200,2013,Used,"147,000",1700,Automatic,Sedan,,850000
5848,gle,23-01-2023,Mercedes,Gle 450,2022,Used,50,3000,Automatic,SUV,,5100000
5849,9462ccdd5a9e4d36a03f5405583b61de,23-01-2023,Renault,Captur,2017,Used,"86,000",1200,Automatic,Hatchback,Yes,380000
5859,6f803f55042e4235ab4c5a9af18115af,12-02-2023,Maserati,Ghibli,2021,Used,"29,000",2000,Automatic,Sedan,Yes,3100000
5860,1bcb655fa54647aa8ec53733be81613d,23-01-2023,Kia,Rio,2017,Used,"131,000",1400,Automatic,Hatchback,Yes,400000
5861,08a4e729637848cebbe1fe753db2751d,23-01-2023,MG,6,2021,Used,"48,000",1500,Automatic,Sedan,Yes,570000
5862,c,23-01-2023,Toyota,C-HR,2017,Used,"69,000",1200,Automatic,SUV,Yes,550000
5863,c20cd12fcdcc408fa19d25639a45b388,23-01-2023,Volkswagen,Jetta,2008,Used,"300,000",1600,Automatic,Sedan,,380000
5864,fe09654d23ce4753afda5d31ae0c8abf,23-01-2023,JAC,J7,2022,Used,"13,000",1500,CVT,Sedan,Yes,540000
5865,3e3636f538ae49dc95622fb2700c49be,23-01-2023,Honda,City,2005,Used,"145,000",1500,Automatic,Sedan,,195000
5866,168e2a0bf4ee40edb2e00a4aa31a09de,23-01-2023,Skoda,KODIAQ,2021,Used,"36,000",1400,Dual Clutch,SUV,,1220000
5867,52860c2a3b504fd29b65108d6463c837,23-01-2023,MG,5,2022,Used,"4,200",1500,Automatic,Sedan,,455000
5868,fd279bc16c694137b7ceeee2c7edcfef,23-01-2023,MG,RX5,2020,Used,"59,000",1500,Automatic,SUV,Yes,650000
5869,8e46d6b23185483893e55ee7f0f6a309,23-01-2023,Opel,Vectra,2008,Used,"157,000",2200,Automatic,Sedan,Yes,215000
5870,nissan,23-01-2023,Nissan Motor Egypt,Sunny,2022,Used,"90,000",1500,Automatic,Sedan,,375000
5871,8bcdc9339ba042b1adb8fcd3a6fc0f54,23-01-2023,Skoda,Octavia,2009,Used,"20,000",1600,Automatic,Coupe,Yes,320000
5882,117ed63d8a3d41b19916c56dd1d11167,23-01-2023,Mercedes,C180,2010,Used,"220,000",1600,Automatic,Hatchback,,455000
5883,1fb2b3fbb5d5444588b5bc56636695eb,23-01-2023,BYD,F3,2014,Used,"180,000",1600,Automatic,Sedan,Yes,200000
5884,1039347757684e1b95990454033a0c88,23-01-2023,Opel,Astra,2001,Used,"200,000",1800,Automatic,Sedan,,185000
5885,elantra,23-01-2023,Hyundai,Elantra HD,2017,Used,"112,000",1600,Automatic,Sedan,Yes,420000
5886,080a27d336894045af07c53518bb41cf,23-01-2023,Hyundai,Tucson,2019,Used,"55,000",1600,Automatic,SUV,,888000
5887,5afbb4ae016d47a58cbfeedeb6fb7ea2,23-01-2023,Skoda,Octavia,2022,Used,"5,000",1400,Automatic,Sedan,Yes,1030000
5888,0be559324a084d3a9788c0e9eff8abe2,23-01-2023,Mazda,3,2015,Used,"120,000",1600,Automatic,Sedan,,465000
5889,afbb46c28f36452eb434304b34201a6b,23-01-2023,Fiat,Tipo,2022,Used,"50,000",1600,Automatic,Sedan,,550000
5890,94dd568986374f1995e29df41627534c,23-01-2023,Mitsubishi,Lancer,2017,Used,"90,000",1600,Automatic,Sedan,,395000
5891,e252ad0dc8d342d6805f11f9f98e39f1,23-01-2023,Mitsubishi,Lancer,2005,Used,"141,000",1300,Automatic,Sedan,No,235000
5892,ecebb5895aa545e885b95aa8b6c8407b,23-01-2023,Kia,Rio,2013,Used,"156,000",1400,Automatic,Sedan,,275000
