,Ad_ID,Body Shape,Car Status,Condition,Engine Capacity,Model,Transmission,Year,brand,price,Mileage,1400,3000,2000,1300,1600,Travel Range,1500,1200,Fuel Type,check,expand_less,5700,4400,1100,4000,1000,3200,3400
1588,https://www.contactcars.com/en/usedcars/chery/tiggo-7/08c7e6d4a4054fff839e89d199160f10-2021?status=Used,SUV,,SUV,1500,Tiggo,Automatic,7,Chery,"700,000","39,000",,,,,,,,,,,,,,,,,,
1589,https://www.contactcars.com/en/usedcars/toyota/corolla/b10c99f50baf4c929205365fa878a5d8-2023?status=Used,Sedan,,Sedan,1600,Corolla,CVT,2023,Toyota,"1,200,000",900,,,,,,,,,,,,,,,,,,
1590,https://www.contactcars.com/en/usedcars/peugeot/406/3c70aedbb96f49babcc2221ef21987e1-1999?status=Used,Sedan,,Sedan,1600,406,Manual,1999,Peugeot,"120,000","128,888",,,,,,,,,,,,,,,,,,
1591,https://www.contactcars.com/en/usedcars/kia/sportage-nq5/5bd5114650974bf8aec7acc499236f67-2023?status=Used,SUV,,SUV,1600,Sportage,Dual Clutch,NQ5,Kia,"1,750,000","9,300",,,,,,,,,,,,,,,,,,
1592,https://www.contactcars.com/en/usedcars/fiat/tipo/c193e1528e2a49ea9607d65ba295a129-2020?status=Used,Sedan,,Sedan,1400,Tipo,Manual,2020,Fiat,"500,000","123,000",,,,,,,,,,,,,,,,,,
1593,https://www.contactcars.com/en/usedcars/mitsubishi/pajero/81ec7008713b4872a330db829d5ff84d-2012?status=Used,SUV,,SUV,3800,Pajero,Automatic,2012,Mitsubishi,"1,450,000","190,000",,,,,,,,,,,,,,,,,,
1594,https://www.contactcars.com/en/usedcars/mercedes/cla-180/f61198ed6efa48efbfb6465c69a069b2-2015?status=Used,Sedan,,Sedan,1600,CLA,Automatic,180,Mercedes,"1,400,000","113,000",,,,,,,,,,,,,,,,,,
1595,https://www.contactcars.com/en/usedcars/kia/cerato/d9478d43156341769507a93c4ffaf00c-2022?status=Used,Sedan,,Sedan,1600,Cerato,Automatic,2022,Kia,"1,050,000","10,000",,,,,,,,,,,,,,,,,,
1596,https://www.contactcars.com/en/usedcars/hyundai/i10/002a57b5e9c74c8691bd0580d6ce1820-2008?status=Used,Hatchback,,Hatchback,1100,I10,Manual,2008,Hyundai,"240,000","151,000",,,,,,,,,,,,,,,,,,
1597,https://www.contactcars.com/en/usedcars/mercedes/c180/2a4ab7a59f744a83bb18238c9462f7ae-2020?status=Used,Sedan,,Sedan,1500,C180,Automatic,2020,Mercedes,"2,750,000","29,000",,,,,,,,,,,,,,,,,,
